,Nodes in each layer,training accuracy,testing accuracy,training MSE,testing MSE
0,"(20, 30, 15)",0.9142259414225942,0.9365853658536586,0.08577405857740586,0.06341463414634146
1,"(20, 15, 5)",0.9288702928870293,0.9317073170731708,0.07112970711297072,0.06829268292682927
2,"(30, 30, 10)",0.9142259414225942,0.9219512195121952,0.08577405857740586,0.07804878048780488
3,"(25, 20, 30)",0.9016736401673641,0.9073170731707317,0.09832635983263599,0.09268292682926829
4,"(25, 35, 25)",0.9016736401673641,0.9073170731707317,0.09832635983263599,0.09268292682926829
5,"(20, 30, 30)",0.891213389121339,0.8292682926829268,0.1087866108786611,0.17073170731707318
6,"(30, 25, 20)",0.8744769874476988,0.8195121951219512,0.12552301255230125,0.18048780487804877
7,"(15, 20, 20)",0.805439330543933,0.8048780487804879,0.19456066945606695,0.1951219512195122
8,"(15, 10, 20)",0.8284518828451883,0.8,0.17154811715481172,0.2
9,"(20, 30, 35)",0.7698744769874477,0.8,0.2301255230125523,0.2
10,"(35, 25, 5)",0.8326359832635983,0.7951219512195122,0.16736401673640167,0.2048780487804878
11,"(20, 25, 20)",0.8347280334728033,0.7902439024390244,0.16527196652719664,0.2097560975609756
12,"(10, 10, 30)",0.7907949790794979,0.7804878048780488,0.20920502092050208,0.21951219512195122
13,"(5, 5, 15)",0.7928870292887029,0.7658536585365854,0.20711297071129708,0.23414634146341465
14,"(35, 20, 15)",0.7719665271966527,0.7658536585365854,0.2280334728033473,0.23414634146341465
15,"(10, 20, 15)",0.7677824267782427,0.7560975609756098,0.23221757322175732,0.24390243902439024
16,"(30, 25, 10)",0.7301255230125523,0.7317073170731707,0.2698744769874477,0.2682926829268293
17,"(25, 15, 25)",0.7552301255230126,0.7170731707317073,0.24476987447698745,0.28292682926829266
18,"(10, 35, 15)",0.7531380753138075,0.7121951219512195,0.24686192468619247,0.28780487804878047
19,"(20, 30, 20)",0.7510460251046025,0.7024390243902439,0.2489539748953975,0.2975609756097561
20,"(35, 30, 20)",0.7510460251046025,0.697560975609756,0.2489539748953975,0.3024390243902439
