,Nodes in each layer,training accuracy,testing accuracy,training MSE,testing MSE
0,"(5, 5, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
1,"(5, 5, 10)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
2,"(5, 5, 15)",0.7928870292887029,0.7658536585365854,0.20711297071129708,0.23414634146341465
3,"(5, 5, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
4,"(5, 5, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
5,"(5, 5, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
6,"(5, 5, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
7,"(5, 10, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
8,"(5, 10, 10)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
9,"(5, 10, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
10,"(5, 10, 20)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
11,"(5, 10, 25)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
12,"(5, 10, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
13,"(5, 10, 35)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
14,"(5, 15, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
15,"(5, 15, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
16,"(5, 15, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
17,"(5, 15, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
18,"(5, 15, 25)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
19,"(5, 15, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
20,"(5, 15, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
21,"(5, 20, 5)",0.3368200836820084,0.37073170731707317,0.6631799163179917,0.6292682926829268
22,"(5, 20, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
23,"(5, 20, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
24,"(5, 20, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
25,"(5, 20, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
26,"(5, 20, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
27,"(5, 20, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
28,"(5, 25, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
29,"(5, 25, 10)",0.6610878661087866,0.6390243902439025,0.3389121338912134,0.36097560975609755
30,"(5, 25, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
31,"(5, 25, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
32,"(5, 25, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
33,"(5, 25, 30)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
34,"(5, 25, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
35,"(5, 30, 5)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
36,"(5, 30, 10)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
37,"(5, 30, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
38,"(5, 30, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
39,"(5, 30, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
40,"(5, 30, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
41,"(5, 30, 35)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
42,"(5, 35, 5)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
43,"(5, 35, 10)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
44,"(5, 35, 15)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
45,"(5, 35, 20)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
46,"(5, 35, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
47,"(5, 35, 30)",0.34518828451882844,0.36097560975609755,0.6548117154811716,0.6390243902439025
48,"(5, 35, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
