,Nodes in each layer,training accuracy,testing accuracy,training MSE,testing MSE
0,"(5, 5, 10)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
1,"(5, 5, 25)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
2,"(5, 10, 10)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
3,"(5, 10, 15)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
4,"(5, 15, 25)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
5,"(5, 15, 30)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
6,"(5, 15, 35)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
7,"(5, 20, 5)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
8,"(5, 20, 35)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
9,"(5, 25, 10)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
10,"(5, 25, 15)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
11,"(5, 25, 20)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
12,"(5, 25, 25)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
13,"(5, 30, 5)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
14,"(5, 30, 20)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
15,"(5, 30, 25)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
16,"(5, 30, 35)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
17,"(5, 35, 5)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
18,"(5, 35, 10)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
19,"(5, 35, 25)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
20,"(5, 35, 30)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
21,"(10, 5, 25)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
22,"(10, 5, 35)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
23,"(10, 10, 30)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
24,"(10, 10, 35)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
25,"(10, 15, 10)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
26,"(10, 15, 15)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
27,"(10, 15, 25)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
28,"(10, 15, 30)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
29,"(10, 20, 5)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
30,"(10, 20, 10)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
31,"(10, 20, 25)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
32,"(10, 25, 25)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
33,"(10, 25, 30)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
34,"(10, 25, 35)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
35,"(10, 30, 5)",0.9748953974895398,0.975609756097561,0.02510460251046025,0.024390243902439025
36,"(10, 30, 15)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
37,"(10, 30, 20)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
38,"(10, 30, 30)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
39,"(10, 30, 35)",0.9769874476987448,0.975609756097561,0.02301255230125523,0.024390243902439025
