,Nodes in each layer,training accuracy,testing accuracy,training MSE,testing MSE
0,"(20, 30, 30)",0.9686192468619247,0.9609756097560975,0.03138075313807531,0.03902439024390244
1,"(20, 5, 15)",0.9414225941422594,0.9414634146341463,0.058577405857740586,0.05853658536585366
2,"(20, 30, 5)",0.9330543933054394,0.9365853658536586,0.06694560669456066,0.06341463414634146
3,"(10, 30, 5)",0.9184100418410042,0.9024390243902439,0.08158995815899582,0.0975609756097561
4,"(10, 35, 25)",0.8535564853556485,0.8634146341463415,0.14644351464435146,0.13658536585365855
5,"(35, 35, 30)",0.7782426778242678,0.7707317073170732,0.2217573221757322,0.22926829268292684
6,"(5, 20, 20)",0.805439330543933,0.7658536585365854,0.19456066945606695,0.23414634146341465
7,"(15, 20, 25)",0.7447698744769874,0.7560975609756098,0.25523012552301255,0.24390243902439024
8,"(30, 15, 35)",0.7531380753138075,0.751219512195122,0.24686192468619247,0.24878048780487805
9,"(25, 15, 5)",0.7322175732217573,0.7414634146341463,0.26778242677824265,0.25853658536585367
10,"(20, 35, 15)",0.7405857740585774,0.7317073170731707,0.2594142259414226,0.2682926829268293
11,"(25, 20, 35)",0.7364016736401674,0.7073170731707317,0.26359832635983266,0.2926829268292683
12,"(30, 10, 10)",0.7217573221757322,0.6878048780487804,0.27824267782426776,0.3121951219512195
13,"(30, 20, 15)",0.7154811715481172,0.6829268292682927,0.28451882845188287,0.3170731707317073
14,"(5, 20, 30)",0.6799163179916318,0.6780487804878049,0.3200836820083682,0.32195121951219513
15,"(35, 30, 10)",0.6673640167364017,0.6682926829268293,0.33263598326359833,0.33170731707317075
16,"(20, 20, 35)",0.7133891213389121,0.6634146341463415,0.28661087866108786,0.33658536585365856
17,"(30, 35, 5)",0.5878661087866108,0.6634146341463415,0.4121338912133891,0.33658536585365856
18,"(30, 10, 15)",0.6924686192468619,0.6585365853658537,0.3075313807531381,0.34146341463414637
19,"(30, 15, 20)",0.6548117154811716,0.6487804878048781,0.34518828451882844,0.35121951219512193
20,"(10, 5, 35)",0.6652719665271967,0.6439024390243903,0.33472803347280333,0.35609756097560974
21,"(15, 10, 25)",0.6589958158995816,0.6439024390243903,0.3410041841004184,0.35609756097560974
22,"(35, 15, 15)",0.6736401673640168,0.6439024390243903,0.3263598326359833,0.35609756097560974
23,"(35, 20, 30)",0.5648535564853556,0.6439024390243903,0.4351464435146444,0.35609756097560974
24,"(5, 5, 10)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
25,"(5, 5, 15)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
26,"(5, 5, 25)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
27,"(5, 5, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
28,"(5, 10, 20)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
29,"(5, 10, 35)",0.6548117154811716,0.6390243902439025,0.34518828451882844,0.36097560975609755
